service_id,date,exception_type
7.686,20250120,2
7.686,20250217,2
7.686,20241225,2
7.686,20250101,2
7.687,20250526,2
D.686,20241225,2
D.686,20250101,2
D.687,20250526,2
Q.686,20250120,2
Q.686,20241225,2
Q.686,20250101,2
Q.687,20250526,2
W.686,20250120,2
W.686,20241225,2
W.686,20250101,2
W.687,20250526,2
A.686,20250120,2
A.686,20241231,2
A.686,20241225,2
A.686,20250101,2
A.687,20250526,2
e.686,20250101,1
f.686,20241225,1
X.687,20250526,1
e.687,20250526,1
Y.686,20241231,1
M.686,20250120,1
